patch_id,T,B,fC_0,fC,I,F,S,category
280,0.39779543932521383,0,0.3957488333766822,0.3957488333766822,0,0,0,non_int
281,0.05857549140884893,0,0.1139808796182656,0.1139808796182656,0,0,0,non_int
282,1.6970756933797064,4,0.008757263491468104,0.008757263491468104,0,0,0,non_int
283,0.6549657071858968,1,0.3625217991668293,0.3625217991668293,1,1,0,fail
284,3.5783498833400555,2,0.14628015838511704,0.14628015838511704,0,0,0,non_int
285,0.4906261511162301,1,0.22677377331779155,0.22677377331779155,0,0,0,non_int
286,1.499692006028932,3,0.13992095954909606,0.5699604797745481,1,0,1,success
287,0.21054045381301634,0,0.08446713874621248,0.5422335693731062,1,0,1,success
288,2.208521853333949,3,0.1785892260060617,0.1785892260060617,0,0,0,non_int
289,0.2621598516105203,0,0.11853371295450772,0.11853371295450772,1,1,0,fail
290,14.16278272648513,19,0.1667205387153319,0.5833602693576659,1,0,1,success
291,0.9487318725056725,2,0.08784228508458321,0.5439211425422916,1,0,1,success
292,1.1220825829907908,2,0.35328894857157866,0.35328894857157866,1,1,0,fail
293,0.07850894379541203,0,0.20248486673837152,0.20248486673837152,0,0,0,non_int
294,2.952368334817019,4,0.1906115780210736,0.5953057890105369,1,0,1,success
295,0.15755621979689888,1,0.24508102811943322,0.24508102811943322,1,1,0,fail
296,0.7907148427839344,1,0.22973781826590609,0.22973781826590609,0,0,0,non_int
297,1.579641848146441,1,0.29310711165348197,0.29310711165348197,0,0,0,non_int
298,0.31138973144739324,1,0.2557313843810886,0.2557313843810886,0,0,0,non_int
299,0.42155988793454247,0,0.3056342314946321,0.3056342314946321,0,0,0,non_int
300,15.75210644966312,28,0.0028466344625885658,0.5014233172312943,1,0,1,success
301,1.5887256225901767,3,0.18189201240968586,0.5909460062048429,1,0,1,success
302,1.6563580741912929,3,0.1140647260049031,0.1140647260049031,0,0,0,non_int
303,0.15110621563044593,0,0.08688943916727793,0.08688943916727793,1,1,0,fail
304,2.11492393264801,1,0.1544689339378163,0.5772344669689082,1,0,1,success
305,1.4820195859647403,2,0.3077808543150178,0.3077808543150178,0,0,0,non_int
306,0.39972943298954433,0,0.15093473991041526,0.15093473991041526,0,0,0,non_int
307,1.72556970747836,2,0.06679162384184092,0.5333958119209204,1,0,1,success
308,1.6984520088113069,3,0.37271278504647015,0.37271278504647015,0,0,0,non_int
309,12.087950781435481,7,0.15427069353178816,0.5771353467658941,1,0,1,success
310,0.014908752027199847,0,0.21703321939555736,0.21703321939555736,1,1,0,fail
311,0.30648361737519486,0,0.2151081172221534,0.2151081172221534,0,0,0,non_int
312,0.42077093863068776,0,0.432195391530715,0.432195391530715,0,0,0,non_int
313,0.23879969773208423,0,0.5293480140018776,0.5293480140018776,0,0,0,non_int
314,0.059312407737498136,0,0.18150062449220403,0.18150062449220403,1,1,0,fail
315,4.519212230088498,4,0.24530198672284045,0.24530198672284045,0,0,0,non_int
316,5.062114745398633,9,0.176112681415458,0.588056340707729,1,0,1,success
317,4.185071848525271,5,0.2990219276069254,0.2990219276069254,0,0,0,non_int
318,0.7425062276979006,0,0.32881725383524424,0.32881725383524424,0,0,0,non_int
319,3.351097933785459,4,0.5243803708545296,0.7621901854272648,1,0,1,success
320,0.24067210850066323,1,0.42519215524791665,0.42519215524791665,0,0,0,non_int
321,0.7674202748359189,1,0.476947581443585,0.476947581443585,0,0,0,non_int
322,0.2619690951327577,1,0.0684917396749677,0.0684917396749677,0,0,0,non_int
323,0.3413546524578775,1,0.03649405534518456,0.03649405534518456,0,0,0,non_int
324,0.30912139896876684,0,0.20661528134772383,0.20661528134772383,0,0,0,non_int
325,0.1288017373775509,0,0.3297148787107582,0.3297148787107582,1,1,0,fail
326,0.3326493724374304,0,0.052960221798578185,0.052960221798578185,1,1,0,fail
327,1.3912411118508983,0,0.12657027634519988,0.12657027634519988,0,0,0,non_int
328,0.6704177435750224,0,0.5040983392019939,0.5040983392019939,0,0,0,non_int
329,0.8820002759950186,2,0.2995745985094405,0.2995745985094405,1,1,0,fail
330,1.3452784959650543,3,0.5742167374780125,0.5742167374780125,0,0,0,non_int
331,0.5501623338533397,1,0.09080208853569437,0.09080208853569437,0,0,0,non_int
332,2.8319052791007144,2,0.34236710450608265,0.34236710450608265,0,0,0,non_int
333,0.1006272983025107,0,0.06392539881425222,0.06392539881425222,0,0,0,non_int
334,0.5198641613359296,0,0.03669522022267451,0.03669522022267451,0,0,0,non_int
335,0.005754292683422532,0,0.13091369729038982,0.13091369729038982,1,1,0,fail
336,1.2214981513253842,0,0.19368901624774273,0.19368901624774273,0,0,0,non_int
337,3.3353211422581683,5,0.6441561393857312,0.6441561393857312,0,0,0,non_int
338,0.1291672008755241,0,0.028268454214560618,0.028268454214560618,1,1,0,fail
339,0.23325495455532777,0,0.16144186082881112,0.16144186082881112,0,0,0,non_int
340,0.22477017572549177,0,0.4635403342104893,0.4635403342104893,0,0,0,non_int
341,0.10332218032816579,0,0.25547107688383214,0.25547107688383214,1,1,0,fail
342,0.13635529873077123,0,0.6562501233107397,0.6562501233107397,0,0,0,non_int
343,0.4402916531131195,0,0.35243754312410247,0.35243754312410247,0,0,0,non_int
